ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"45.77.161.73","elite","AS20473","US","The Constant Company","111","Vultr Holdings, LLC","10014","socks4","4778","1","2026-04-11T21:13:16.322Z","96","11545","12002"
"62.112.9.151","elite","AS49981","NL","WorldStream B.V.","22","Worldstream","11638","socks4","2475","1","2026-04-11T21:13:16.235Z","100","1208","1208"
"203.172.201.226","transparent","AS23974","TH","Ministry of Education - EMISC","186","Ministry of Education - EMISC","8080","http","108","14806","2026-04-11T21:13:16.229Z","93","39","42"
"103.79.96.169","elite","AS64308","ID","PT IndoDev Niaga Internet","168","PT IndoDev Niaga Internet","4153","socks4","3789","2","2026-04-11T21:13:16.233Z","99","11791","11870"
"202.53.174.21","elite","AS23923","BD","Agni Systems Limited","306","Agni Systems Ltd.","1080","socks4","2878","1","2026-04-11T21:13:16.227Z","98","5015","5109"
"118.173.88.30","elite","AS23969","TH","TOT Public Company Limited","169","TOT Public Company Limited","8080","socks4","4999","1","2026-04-11T21:13:16.320Z","67","239","356"
"94.232.244.19","elite","AS209847","NL","WorkTitans B.V.","12","WorkTitans B.V","3128","socks4","993","1","2026-04-11T21:13:16.319Z","82","2045","2485"
"93.87.73.194","elite","AS8400","RS","Telekom Srbija","27","N/A","8080","socks4","3800","1","2026-04-11T21:13:16.321Z","100","11949","11955"
"122.152.53.25","elite","AS38562","BD","Innovative Online Ltd.","213","Innovative Online Ltd.","5678","socks4","3400","1","2026-04-11T21:13:16.220Z","96","11487","11969"
"139.198.120.15","elite","AS58466","HK","Yunify Technologies Inc","180","Yunify Technologies Inc.","29527","socks5","4425","1","2026-04-11T21:13:16.318Z","99","5202","5240"
"36.37.147.34","transparent","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","202","Viettel (cambodia) Pte, Ltd.","8080","http","89","14804","2026-04-11T21:13:16.230Z","100","47","47"
"182.253.166.203","elite","AS17451","ID","BIZNET","191","N/A","5678","socks4","2681","1","2026-04-11T21:13:16.232Z","99","4232","4283"
"67.225.250.37","elite","AS32244","US","Liquid Web, L.L.C","111","SourceDNS","30126","socks4","2518","1","2026-04-11T21:13:16.232Z","99","4929","4991"
"173.255.199.69","elite","AS63949","US","Akamai Technologies, Inc.","123","Linode","19151","socks5","4694","1","2026-04-11T21:13:16.231Z","86","10248","11930"
"177.93.39.114","elite","AS262186","CO","TV AZTECA SUCURSAL COLOMBIA","172","TV AZTECA SUCURSAL COLOMBIA","999","socks4","4173","1","2026-04-11T21:13:16.319Z","99","288","290"
"115.127.2.229","elite","AS24342","BD","bracNet","200","BRAC BDMail Network Ltd","5678","socks4","412","1","2026-04-11T21:13:16.227Z","97","5073","5221"
"218.83.201.226","elite","AS4812","CN","China Telecom (Group)","272","Chinanet SH","10800","socks4","4010","1","2026-04-11T21:13:16.226Z","98","2503","2546"
"161.97.173.78","elite","AS51167","FR","Contabo GmbH","11","Contabo GmbH","15109","socks4","3496","1","2026-04-11T21:13:16.224Z","65","3340","5146"
"66.171.186.47","elite","AS21743","US","Atlas Networks Corporation","138","Atlas Networks Corporation","1080","socks4","3028","65","2026-04-11T21:13:16.222Z","100","5146","5150"
"186.211.110.178","elite","AS53062","BR","Ggnet Telecom Backbone","232","ALT | GRUPO BRASIL TECPAR","32346","socks4","4419","1","2026-04-11T21:13:16.316Z","97","11523","11930"
